"ndc","rxcui","va"
"00002-2236-80",2395779,"HS509"
"00002-7510-01",865098,"HS501"
"00002-7737-01",242120,"HS501"
"00002143380",1551300,"HS509"
"00002143480",1551306,"HS509"
"00002143601",2058877,"CN105"
"00002143611",2058877,"CN105"
"00002144511",1745108,"IM600"
"00002145780",2601758,"HS509"
"00002146080",2601776,"HS509"
"00002147180",2601770,"HS509"
"00002148480",2601785,"HS509"
"00002149580",2601746,"HS509"
"00002150680",2601764,"HS509"
"00002223680",2395779,"HS509"
"00002237711",2058887,"CN105"
"00002311509",2170613,"CN105"
"00002318280",2395785,"HS509"
"00002448354",1946836,"AN900"
"00002449108",2256943,"CN105"
"00002481554",1946840,"AN900"
"00002533754",1946844,"AN900"
"00002614511",2180671,"HS503"
"00002614527",2180671,"HS503"
"00002751001",865098,"HS501"
"00002751017",865098,"HS501"
"00002751659",1652646,"HS501"
"00002771227",1652242,"HS501"
"00002771459",1926332,"HS501"
"00002771559",1736863,"HS501"
"00002773701",242120,"HS501"
"00002803101",310497,"HS503"
"00002820705",2380260,"HS501"
"00002821501",311036,"HS501"
"00002831501",311026,"HS501"
"00002850101",351859,"HS501"
"00002879759",847254,"HS501"
"00002879859",847213,"HS501"
"00002879959",1652640,"HS501"
"00002880559",847199,"HS501"
"00002882427",1731317,"HS501"
"00003-0893-21",1364441,"BL110"
"00003-0894-21",1364447,"BL110"
"00003052711",643173,"AN900"
"00003085222",799830,"AN900"
"00003085522",1045408,"AN900"
"00003089321",1364441,"BL110"
"00003089421",1364447,"BL110"
"00003089470",1364447,"BL110"
"00003218811",1145932,"MS190"
"00003218851",1799230,"MS190"
"00003376474",1992428,"BL110"
"00005200002",2566314,"IM100"
"00005200010",2566314,"IM100"
"00006-0112-31",665044,"HS502"
"00006003330",1547110,"CN309"
"00006007861",1243848,"HS502"
"00006008061",1243843,"HS502"
"00006011231",665044,"HS502"
"00006022761",744846,"AM800"
"00006027731",665036,"HS502"
"00006027754",665036,"HS502"
"00006027782",665036,"HS502"
"00006032530",1547114,"CN309"
"00006033530",1547118,"CN309"
"00006057761",861771,"HS502"
"00006409602",836634,"IM100"
"00006412102",1597103,"IM100"
"00006468100",804186,NA
"00006482700",1292459,"IM100"
"00006483703",1547582,"IM100"
"00006505506",2603740,"AM800"
"00008121101",790290,"CN609"
"00008121130",790290,"CN609"
"00009001103",105398,"HS051"
"00009027101",206417,"HS300"
"00009041701",835842,"HS100"
"00013104201",848330,"HS300"
"00013215036",848330,"HS300"
"00013264681",996559,"HS701"
"00013265102",762839,"HS701"
"00013265202",762843,"HS701"
"00023114501",860195,"MS900"
"00023320503",1009341,"OP109"
"00023320508",1009341,"OP109"
"00023392102",897368,"MS900"
"00023611803",351750,"DE500"
"00023650110",2268227,"CN105"
"00023650116",2268227,"CN105"
"00023916330",2572293,"OP300"
"00023916360",2572293,"OP300"
"00024576105",1859000,"HS509"
"00024586903",1604544,"HS501"
"00024587102",2002420,"HS501"
"00024591401",1876406,"DE890"
"00024591502",2375329,"DE890"
"00024592201",2003767,"MS190"
"00032120370",1113046,"GA500"
"00032120601",863836,"GA500"
"00032122401",863829,"GA500"
"00032301613",1373327,"GA500"
"00037682210",828364,"RS202"
"00046087221",688242,"GU500"
"00046110081",208513,"HS300"
"00046110281",150840,"HS900"
"00046110281",150840,"HS300"
"00046110291",150840,"HS900"
"00046110291",150840,"HS300"
"00046110481",202301,"HS300"
"00046110511",1000491,"HS900"
"00046110611",1000497,"HS900"
"00046110711",1000499,"HS900"
"00052027301",1367439,"HS200"
"00052027303",1367439,"HS200"
"00054-0019-25",198148,"HS051"
"00054-0177-13",351265,"CN101"
"00054-0235-25",892582,"CN101"
